step,loss
0,0.45234745740890503
0,0.43136608600616455
0,0.3624582886695862
1,0.434245765209198
1,0.3548140525817871
1,0.3878110647201538
1,0.41890788078308105
2,0.39356058835983276
2,0.4089389443397522
2,0.42070454359054565
2,0.3846966028213501
3,0.4305238127708435
3,0.3705025613307953
3,0.42984646558761597
3,0.4722248911857605
4,0.3762790858745575
4,0.4282386898994446
4,0.4089019298553467
4,0.5495125651359558
5,0.3757413923740387
5,0.43589121103286743
5,0.4622146785259247
5,0.3674647808074951
6,0.387587308883667
6,0.37357980012893677
6,0.3580635190010071
6,0.40222135186195374
7,0.32089948654174805
7,0.4678710103034973
7,0.3430147171020508
7,0.38351935148239136
8,0.3955293297767639
8,0.38908082246780396
8,0.3756127953529358
8,0.3594326674938202
9,0.3781358599662781
9,0.36681902408599854
9,0.40650466084480286
9,0.4072854816913605
10,0.41511255502700806
10,0.45158958435058594
10,0.3619288206100464
10,0.4183465242385864
11,0.3794707655906677
11,0.42784857749938965
11,0.3980109393596649
11,0.43198761343955994
12,0.379602313041687
12,0.36231479048728943
12,0.41045424342155457
12,0.38880670070648193
13,0.37768736481666565
13,0.37675341963768005
13,0.42762696743011475
13,0.3696374297142029
14,0.3323822319507599
14,0.3803156316280365
14,0.3886870741844177
14,0.4181315302848816
15,0.41807821393013
15,0.3782590627670288
15,0.4271026849746704
15,0.3910525441169739
16,0.38948196172714233
16,0.3719213008880615
16,0.4593192934989929
16,0.34052950143814087
17,0.34076499938964844
17,0.34696948528289795
17,0.37724584341049194
17,0.369219034910202
18,0.36197030544281006
18,0.3534078598022461
18,0.37684839963912964
18,0.4085078835487366
19,0.38787969946861267
19,0.38187411427497864
19,0.4261507987976074
19,0.4169108271598816
20,0.3366583287715912
20,0.3468344807624817
20,0.38166841864585876
20,0.4487244188785553
21,0.4027493894100189
21,0.3909202218055725
21,0.37946370244026184
21,0.3758590519428253
22,0.3428935408592224
22,0.3753509223461151
22,0.3620840311050415
22,0.3790431022644043
23,0.36005911231040955
23,0.37706905603408813
23,0.3691334128379822
23,0.3616848587989807
24,0.34985488653182983
24,0.31328868865966797
24,0.4076116681098938
24,0.34932076930999756
25,0.39538702368736267
25,0.36303573846817017
25,0.3646330237388611
25,0.46029040217399597
26,0.4210917055606842
26,0.3726883828639984
26,0.3521001935005188
26,0.33339935541152954
27,0.41238629817962646
27,0.35718834400177
27,0.3332744836807251
27,0.3877536356449127
28,0.3384273052215576
28,0.36280784010887146
28,0.3758131265640259
28,0.40016698837280273
29,0.36783552169799805
29,0.36108070611953735
29,0.3535222113132477
29,0.4336981773376465
30,0.35110682249069214
30,0.35976552963256836
30,0.3821198344230652
30,0.3219682574272156
31,0.32413941621780396
31,0.37003397941589355
31,0.36962518095970154
31,0.4097799062728882
32,0.38001421093940735
32,0.3717762231826782
32,0.3403831124305725
32,0.3395942151546478
33,0.3752896189689636
33,0.387177050113678
33,0.36416858434677124
33,0.34211260080337524
34,0.3341556191444397
34,0.41518092155456543
34,0.33389994502067566
34,0.3746495246887207
35,0.40483495593070984
35,0.37746381759643555
35,0.3737279772758484
35,0.3766911029815674
36,0.39452385902404785
36,0.4155905246734619
36,0.4006803035736084
36,0.36301887035369873
37,0.3895488381385803
37,0.3763912320137024
37,0.37113186717033386
37,0.3692125678062439
38,0.3762723207473755
38,0.3563382625579834
38,0.3816322088241577
38,0.3775964379310608
39,0.3759036660194397
39,0.34015101194381714
39,0.39136892557144165
39,0.35555344820022583
40,0.38441601395606995
40,0.357780396938324
40,0.3254926800727844
40,0.35303962230682373
41,0.379169762134552
41,0.3991473913192749
41,0.34476804733276367
41,0.37325263023376465
42,0.3475576639175415
42,0.4300448000431061
42,0.36536991596221924
42,0.41044899821281433
43,0.48919135332107544
43,0.37669429183006287
43,0.37160247564315796
43,0.41615140438079834
44,0.3496777415275574
44,0.33956658840179443
44,0.413336843252182
44,0.3671228885650635
45,0.3310590386390686
45,0.3890330493450165
